Year,Make,Model,Trim,Final Offer,ICO Value
,Jeep,Grand Cherokee,,,12890
,Cadillac,CTS-V,,,5961
,Ferrari,F430,,,2737
,GMC,Suburban 2500,,,6176
,Daihatsu,Charade,,,4390
,Buick,Riviera,,,11661
,Subaru,Forester,,,16006
,Volkswagen,Eurovan,,,6254
,Dodge,Grand Caravan,,,4517
,Dodge,Grand Caravan,,,4517
,Buick,Riviera,,,11661
,Volkswagen,Eurovan,,,6254
,Cadillac,CTS-V,,,5961
,Ferrari,F430,,,2737
,Daihatsu,Charade,,,4390
,GMC,Suburban 2500,,,6176
,Subaru,Forester,,,16006
,Volkswagen,Eurovan,,,6552
,Ferrari,F430,,,2737
,Daihatsu,Charade,,,4390
,Buick,Riviera,,,11661
,Dodge,Grand Caravan,,,4621
,Subaru,Forester,,,16006
,Cadillac,CTS-V,,,5961
,GMC,Suburban 2500,,,6176
,GMC,Suburban 2500,,,6176
,Daihatsu,Charade,,,4390
,Ferrari,F430,,,2829
,Dodge,Grand Caravan,,,4621
,Cadillac,CTS-V,,,5961
,Subaru,Forester,,,15046
,Volkswagen,Eurovan,,,6254
,Buick,Riviera,,,11661
,Subaru,Impreza,,,9204
,Ram,3500,,,29475
,Ram,3500,,,29475
,Ram,3500,,,29475
,Ram,3500,,,29475
,Ram,3500,,,29475
,Ford,Explorer,,,29475
,Subaru,Outback,,,20267
,Ford,Explorer,,,17106
,Subaru,Forester,,,14232
,Subaru,Forester,,,13282
,Subaru,Forester,,,13282
,Hyundai,Tucson,,,7377
,Ford,Explorer,,,28975
,Ram,3500,,,28975
,Chevrolet,Avalanche 1500,,,9727
,Chevrolet,Avalanche 1500,,,7205
,Chevrolet,Avalanche 1500,,,7205
,Subaru,Impreza,,,8666
,Subaru,Outback,,,20734
,Nissan,Altima,,,14030
,Chrysler,300,,,1758
,Chrysler,300,,,837
,Chrysler,300,,,820
,Subaru,Forester,,,14080
,Subaru,Forester,,,14080
,Subaru,Forester,,,14080
,Subaru,Forester,,,14080
,Dodge,Grand Caravan,,,6088
,Subaru,Forester,,,14327
,Volkswagen,Eurovan,,,8495
,Daihatsu,Charade,,,4917
,Dodge,Grand Caravan,,,6088
,Subaru,Forester,,,14327
,GMC,Suburban 2500,,,6493
,Buick,Riviera,,,12038
,Daihatsu,Charade,,,4944
,Dodge,Grand Caravan,,,6521
,Subaru,Forester,,,14327
,Cadillac,CTS-V,,,6840
,Daihatsu,Charade,,,4618
,Subaru,Forester,,,14327
,Volkswagen,Eurovan,,,8659
,Ferrari,F430,,,4040
,Volkswagen,Eurovan,,,7118
,Daihatsu,Charade,,,4227
,GMC,Suburban 2500,,,6550
,Ferrari,F430,,,4036
,Ford,Explorer,,,16029
,Daihatsu,Charade,,,4873
,Dodge,Grand Caravan,,,6055
,Volkswagen,Eurovan,,,8647
,Subaru,Forester,,,14327
,Chevrolet,Camaro,,,25569
,Chevrolet,Camaro,,,25569
,Subaru,Outback,,,21395
,Ram,3500,,,29200
,Dodge,Grand Caravan,,,6092
,GMC,Suburban 2500,,,6476
,Cadillac,CTS-V,,,6766
,Subaru,Forester,,,14327
,Ford,Explorer,,,11962
,Ram,3500,,,50436
,Mazda,Mazda3,,,10640
,Mazda,Mazda3,,,11648
,Subaru,Forester,,,14327
,Dodge,Grand Caravan,,,6008
,Buick,Riviera,,,11878
,Volkswagen,Eurovan,,,8578
,GMC,Suburban 2500,,,6497
,Ferrari,F430,,,4034
,Cadillac,CTS-V,,,6796
,Daihatsu,Charade,,,4981
,Chevrolet,Camaro,,,22248
,Ford,Explorer,,,11799
,Subaru,Forester,,,12732
,Ford,Explorer,,,16573
,Chevrolet,Camaro,,,25260
,Subaru,Forester,,,12732
,Subaru,Forester,,,12732
,Ferrari,F430,,,3896
,Daihatsu,Charade,,,4902
,Buick,Riviera,,,8210
,Volkswagen,Eurovan,,,8617
,Kia,Borrego,,,5302
